snopes,fake_news,s_pd,s_ftw,f_pd,f_ftw,f_n,id
http://www.snopes.com/three-syrian-refugees-assault-5-year-old-girl-at-knifepoint/,http://www.infowars.com/report-three-syrian-refugees-rape-little-girl-at-knifepoint-in-idaho/,6/20/16 17:39,6/20/16 17:44,6/20/16 11:06,6/20/16 11:09,2517,1
http://www.snopes.com/colin-kaepernick-converts-to-islam/,http://www.infowars.com/colin-kaepernick-converted-to-islam-before-his-anti-american-stance-coincidence/,8/29/16 18:29,8/29/16 18:34,8/29/16 10:07,8/29/16 10:11,218,2
http://www.snopes.com/justin-trudeau-kiss-thomas-mulcair/,http://worldnewsdailyreport.com/canadian-prime-minister-and-opposition-leader-share-kiss-to-denounce-orlando-massacre/,6/15/16 21:07,6/15/16 21:10,6/14/16 18:42,6/15/16 04:27,189,3
http://www.snopes.com/chemotherapy-doctor-blows-the-whistle/,http://www.realfarmacy.com/chemotherapy-not-cancer/,9/4/16 17:15,6/29/16 16:42,6/10/16 04:08,6/10/16 22:32,12,4
http://www.snopes.com/clinton-compliant-citizenry/,http://www.infowars.com/clinton-campaign-email-outlines-effort-to-produce-an-unaware-and-compliant-citizenry/,10/11/16 19:52,10/11/16 20:05,10/11/16 10:48,10/10/16 22:04,6663,5
http://www.snopes.com/anti-trump-protesters-block-ambulance/,http://www.infowars.com/report-anti-trump-protesters-block-ambulance-father-of-4-year-old-girl-dies/,11/15/16 16:16,11/15/16 16:23,11/15/16 13:24,11/15/16 13:26,6191,6
http://www.snopes.com/jill-stein-endorsed-donald-trump/,http://www.infowars.com/green-party-candidate-jill-stein-says-hillary-clinton-could-be-worse-than-donald-trump/,10/13/16 15:47,10/13/16 16:02,6/13/16 20:31,6/13/16 20:55,17,7
http://www.snopes.com/edward-snowden-said-russia-successfully-rigged-u-s-elections-in-favor-of-trump/,http://worldnewsdailyreport.com/snowden-russia-successfully-rigged-us-elections-in-favor-of-trump/,11/28/16 17:06,11/28/16 17:18,11/25/16 15:07,11/25/16 17:03,226,9
http://www.snopes.com/eric-braverman-seeks-asylum-in-russia/,http://beforeitsnews.com/press-releases/2016/10/clinton-foundation-ceo-eric-braverman-seeks-asylum-at-russian-consulate-3015296.html,10/25/16 21:44,10/25/16 21:49,10/25/16 04:21,10/25/16 11:21,44,10
http://www.snopes.com/obama-executive-order-military-citizens/,http://beforeitsnews.com/war-and-conflict/2016/07/ultimate-destabilization-united-nations-agenda-activated-race-wars-civil-wars-riots-planned-u-s-mass-casualties-2462018.html,7/14/16 14:39,7/14/16 14:44,7/11/16 14:07,7/11/16 21:51,113,11
http://www.snopes.com/government-to-microchip-citizens/,http://www.activistpost.com/2016/12/house-passes-bill-allowing-government-microchip-citizens-mental-disabilities.html,12/17/16 23:44,12/17/16 23:48,12/13/16 09:44,12/13/16 16:01,616,12
http://www.snopes.com/fines-for-bringing-supplies-to-standing-rock-dapl-protests/,http://www.activistpost.com/2016/11/sheriffs-dept-fine-people-1k-bringing-food-supplies-standing-rock.html,11/30/16 20:35,11/30/16 20:38,11/30/16 06:27,11/30/16 00:19,45,14
http://www.snopes.com/snowden-pronounced-dead/,http://worldtruth.tv/snowden-prounounced-dead-by-his-girlfriend-in-russia/,8/10/16 17:05,8/10/16 17:08,8/9/16 08:38,8/9/16 12:40,46,15
http://www.snopes.com/syrian-rescue-organization-the-white-helmets-are-terrorists/,http://21stcenturywire.com/2016/09/23/exclusive-the-real-syria-civil-defence-expose-natos-white-helmets-as-terrorist-linked-imposters/,12/16/16 17:56,12/16/16 18:02,9/23/16 05:33,9/23/16 06:29,1587,16
http://www.snopes.com/hillary-clinton-seizure-video/,http://www.infowars.com/video-bizarre-hillary-behavior-caught-on-camera/,7/23/16 22:09,7/23/16 22:10,7/23/16 11:06,7/23/16 10:18,213,17
http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,https://www.intellihub.com/operation-summer-of-chaos-obama-admin-black-lives-matter-plan/,7/8/16 22:39,7/8/16 22:44,6/14/16 10:35,6/14/16 15:16,1574,18
http://www.snopes.com/target-holy-bible-ban/,http://nationalreport.net/target-discontinue-sale-holy-bible/,5/18/16 16:37,5/18/16 16:48,5/18/16 01:16,5/18/16 01:17,107,19
http://www.snopes.com/orlando-shooters-father-clinton/,http://21stcenturywire.com/2016/06/15/father-of-orlando-shooter-is-long-time-cia-asset/,6/15/16 16:50,6/15/16 17:30,6/15/16 14:34,6/15/16 16:07,18,20
http://www.snopes.com/george-soros-ss-nazi-germany/,http://www.nowtheendbegins.com/proof-george-soros-nazi-past-finally-comes-light-discovery-forgotten-interview/,11/28/16 23:52,11/29/16 00:01,11/15/16 22:10,11/15/16 22:12,412,21
http://www.snopes.com/michael-savage-removed/,http://www.infowars.com/emergency-hillary-globalists-shutting-down-opposition-media/,9/28/16 17:51,9/28/16 17:57,9/28/16 12:27,9/28/16 10:54,210,22
http://www.snopes.com/tim-kaine-white-people-minority/,http://www.infowars.com/hillarys-vp-whites-must-become-a-minority-to-atone-for-racism/,8/17/16 19:46,8/17/16 19:54,8/16/16 11:03,8/16/16 11:04,4082,23
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/secret-service-leaks-hillarys-health-to-press/,9/11/16 00:10,9/11/16 00:17,8/15/16 10:21,8/14/16 23:26,5583,24
http://www.snopes.com/pokemon-in-pokemon-go-will-scream-if-within-a-mile-of-a-sex-offender/,http://www.clickhole.com/article/gaming-safety-ftw-pokemon-pokemon-go-will-now-scre-4691,8/3/16 17:26,8/3/16 17:29,7/28/16 14:25,7/28/16 14:30,115,25
http://www.snopes.com/rupaul-claims-trump-touched-him/,http://worldnewsdailyreport.com/rupaul-claims-trump-touched-him-inappropriately-in-the-1990s/,10/18/16 04:15,10/18/16 04:26,10/14/16 13:15,10/15/16 03:04,327,26
http://www.snopes.com/buzz-aldrin-tweeted-we-are-all-in-danger-it-is-evil-itself/,http://beforeitsnews.com/conspiracy-theories/2016/12/a-mysterious-tweet-by-astronaut-buzz-aldrin-2478714.html,12/13/16 19:12,12/13/16 19:13,12/6/16 13:30,12/6/16 21:44,51,27
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/secret-service-whistleblower-hillary-has-major-neurological-problems/,9/11/16 00:10,9/11/16 00:17,8/15/16 11:16,8/15/16 11:17,5136,28
http://www.snopes.com/cnn-same-refugee-girl/,http://21stcenturywire.com/2016/10/18/crisis-extras-are-syrias-white-helmets-recycling-their-barrel-bomb-victims/,12/27/16 06:50,12/27/16 06:59,10/18/16 10:33,10/18/16 11:01,321,29
http://www.snopes.com/black-homeless-woman-says-trump-allowed-live-trump-tower-rent-free/,http://www.infowars.com/black-homeless-woman-says-trump-allowed-her-to-live-in-trump-tower-rent-free-for-8-years/,12/9/16 23:19,12/9/16 23:22,12/8/16 17:26,12/8/16 17:27,1727,30
http://www.snopes.com/president-obama-takes-a-knee-during-national-anthem/,http://nationalreport.net/obama-takes-a-knee-during-national-anthem/,9/24/16 17:18,9/24/16 17:23,9/19/16 15:52,9/19/16 15:52,25,31
http://www.snopes.com/woman-runs-husband-down-with-suv-because-he-voted-for-trump/,http://worldtruth.tv/woman-runs-over-her-husband-with-an-suv-after-learning-he-voted-for-trump/,11/17/16 03:37,11/17/16 03:48,11/16/16 08:56,11/16/16 12:58,5,32
http://www.snopes.com/black-protesters-targeted-whites-in-milwaukee/,http://www.infowars.com/video-black-lives-matter-rioters-target-whites-for-beat-downs/,8/15/16 20:20,8/15/16 20:23,8/14/16 11:45,8/14/16 11:04,8442,33
http://www.snopes.com/john-podesta-spirit-cooking/,http://www.infowars.com/bombshell-hillary-clintons-satanic-network-exposed/,11/4/16 21:46,11/4/16 21:50,11/4/16 19:25,11/4/16 18:26,982,13
http://www.snopes.com/sweden-bans-christmas-lights/,http://www.infowars.com/sweden-bans-christmas-street-lights-to-avoid-offending-muslim-migrants/,10/27/16 21:30,10/27/16 21:31,10/25/16 17:39,10/25/16 17:40,2979,34
http://www.snopes.com/clinton-newsweek-cover/,http://www.infowars.com/did-newsweek-already-print-a-special-madam-president-hillary-edition/,11/7/16 20:23,11/7/16 20:29,11/7/16 16:30,11/7/16 16:31,2236,35
http://www.snopes.com/defcon-warning-level-escalated-to-3/,http://beforeitsnews.com/opinion-liberal/2016/06/trouble-u-s-sets-defcon-3-2531061.html,10/16/16 17:02,6/20/16 21:07,6/20/16 08:53,6/20/16 20:10,2,36
http://www.snopes.com/ace-hardware-stands-against-standing-rock/,http://www.activistpost.com/2016/11/sheriffs-dept-demands-ace-hardware-stop-selling-heating-supplies-water-protectors-ace-complies.html,12/1/16 18:29,12/1/16 18:40,11/30/16 18:45,12/1/16 02:55,14,37
http://www.snopes.com/obama-encouraged-illegal-aliens-to-vote/,http://www.infowars.com/video-president-obama-encourages-illegal-immigrants-to-vote/,11/6/16 18:27,11/6/16 18:33,11/6/16 15:45,11/6/16 15:48,821,38
http://www.snopes.com/experimental-nazi-missile-aimed-at-u-s/,http://worldnewsdailyreport.com/rocket-launched-in-space-by-nazis-in-1944-expected-to-hit-the-usa-next-week/,12/30/16 21:53,12/30/16 22:00,12/23/16 20:15,12/29/16 09:26,1,39
http://www.snopes.com/seth-conrad-rich/,http://www.activistpost.com/2016/07/suspicious-dnc-staffer-in-charge-of-voter-expansion-data-murdered-in-d-c.html,7/14/16 22:29,7/14/16 22:42,7/12/16 10:15,7/12/16 16:32,37,40
http://www.snopes.com/did-donald-trump-appoint-sarah-palin-as-a-science-advisor/,http://worldnewsdailyreport.com/sarah-palin-appointed-as-science-and-technology-adviser-promises-to-get-rid-of-climate-change-hysteria/,1/2/17 16:29,1/2/17 16:35,12/5/16 18:57,12/8/16 22:38,37,41
http://www.snopes.com/hillary-clinton-secret-earpiece/,http://www.infowars.com/was-hillary-wearing-an-earpiece-during-last-nights-presidential-forum/,9/8/16 19:04,9/8/16 19:09,9/8/16 10:58,9/8/16 11:00,12302,42
http://www.snopes.com/elector-suicide/,http://worldnewsdailyreport.com/electoral-college-elector-commits-suicide-to-avoid-voting-for-donald-trump/,12/30/16 19:24,12/30/16 19:36,12/19/16 19:50,12/19/16 20:11,2,43
http://www.snopes.com/did-macys-pull-support-from-planned-parenthood/,http://www.infowars.com/macys-no-longer-supports-planned-parenthood/,12/12/16 19:25,12/12/16 19:30,12/9/16 17:41,12/9/16 17:49,358,44
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/dr-drew-gravely-concerned-about-hillary-clintons-health/,9/11/16 00:10,9/11/16 00:17,8/17/16 17:57,8/17/16 15:37,5149,45
http://www.snopes.com/michael-savage-removed/,http://www.infowars.com/savage-nation-sounds-the-alarm-on-censorship/,9/28/16 17:51,9/28/16 17:57,9/28/16 16:15,9/28/16 16:16,10,46
http://www.snopes.com/target-american-flag-removal/,http://nationalreport.net/target-discontinue-sales-american-flag/,5/19/16 20:36,5/19/16 20:39,5/19/16 16:47,5/19/16 16:47,22,47
http://www.snopes.com/police-shoot-coal-miner/,http://worldnewsdailyreport.com/kentucky-police-shoot-white-coal-miner-5-times-thinking-he-was-black/,10/13/16 15:02,10/13/16 15:12,9/29/16 16:42,10/11/16 22:32,3,48
http://www.snopes.com/clinton-secret-earpiece-debate/,http://www.infowars.com/photos-whats-that-under-hillarys-pantsuit-during-last-nights-debate/,9/27/16 22:32,9/27/16 22:37,9/27/16 15:16,9/27/16 15:18,2930,49
http://www.snopes.com/three-syrian-refugees-assault-5-year-old-girl-at-knifepoint/,http://www.nowtheendbegins.com/idaho-town-covers-up-rape-of-little-girl-at-knifepoint-by-three-syrian-muslim-refugees/,6/20/16 17:39,6/20/16 17:44,6/20/16 14:11,6/20/16 14:11,39,50
http://www.snopes.com/woman-develops-iq-of-220-after-drinking-sperm-every-day-for-a-year/,http://worldnewsdailyreport.com/woman-develops-iq-of-220-after-drinking-sperm-everyday-for-a-year/,11/21/16 21:23,11/21/16 21:25,11/17/16 18:16,11/18/16 05:55,12,51
http://www.snopes.com/woman-runs-husband-down-with-suv-because-he-voted-for-trump/,http://worldnewsdailyreport.com/woman-runs-over-her-husband-with-an-suv-after-learning-he-voted-for-trump/,11/17/16 03:37,11/17/16 03:48,11/14/16 18:19,11/15/16 03:52,38,52
http://www.snopes.com/john-podesta-spirit-cooking/,http://www.infowars.com/spirit-cooking-clinton-campaign-chairman-invited-to-bizarre-satanic-performance/,11/4/16 21:46,11/4/16 21:50,11/4/16 13:57,11/4/16 12:58,22576,53
http://www.snopes.com/pat-robertson-orlando-shooting/,http://www.newslo.com/pat-robertson-orlando-shooting-gods-punishment-scotus-sex-marriage-ruling/,6/12/16 21:34,6/12/16 21:39,6/12/16 13:36,6/12/16 18:09,4,54
http://www.snopes.com/three-million-votes-in-presidential-election-cast-by-illegal-aliens/,http://www.infowars.com/report-three-million-votes-in-presidential-election-cast-by-illegal-aliens/,11/17/16 00:34,11/17/16 00:41,11/14/16 13:22,11/14/16 13:24,14894,55
http://www.snopes.com/mike-pence-supported-gay-conversion-therapy/,http://nationalreport.net/michele-bachmann-prays-gay-conversion-therapy-help-husband/,10/26/16 23:23,10/26/16 23:39,7/14/16 15:29,7/14/16 15:29,7,56
http://www.snopes.com/2016/08/09/politics-sites-mismatched-clinton-rally-image-goes-viral/,http://www.infowars.com/media-photoshops-hillary-crowd-to-make-her-audience-look-bigger/,8/9/16 17:52,8/9/16 17:58,8/9/16 11:31,8/9/16 11:32,1566,57
http://www.snopes.com/police-shoot-department-store-mannequin-67-times-after-mistaking-it-for-gunman/,http://realnewsrightnow.com/2016/08/police-shoot-department-store-mannequin-67-times-mistaking-gunman/,8/16/16 19:13,8/16/16 19:17,8/15/16 09:26,8/15/16 13:27,126,58
http://www.snopes.com/mike-pence-condom-ban/,http://www.newslo.com/mike-pence-calls-ban-condoms-lead-abortions/,8/29/16 20:25,8/29/16 20:30,8/16/16 21:50,8/22/16 13:36,18,59
http://www.snopes.com/samsung-smartphones-truck-explodes/,http://worldnewsdailyreport.com/shipment-of-samsung-smartphones-explodes-during-transport-3-dead/,9/14/16 21:33,9/14/16 21:45,9/1/16 16:53,9/10/16 19:38,15,60
http://www.snopes.com/canada-legalizes-beastiality,http://www.infowars.com/canada-legalizes-oral-sex-with-pets/,6/10/16 23:29,6/11/16 00:20,6/10/16 17:49,6/10/16 17:50,269,61
http://www.snopes.com/2016/11/14/melania-sign-at-anti-trump-protest/,http://www.dcclothesline.com/2016/11/14/wheres-the-feminist-outrage-as-rapemelania-trends-on-twitter/,11/14/16 16:51,11/14/16 16:58,11/14/16 10:45,11/14/16 10:46,56,62
http://www.snopes.com/black-mob-beats-white-man-for-voting-trump/,http://www.infowars.com/shock-video-black-mob-viciously-beats-white-trump-voter/,11/10/16 20:32,11/10/16 20:43,11/10/16 12:16,11/10/16 12:09,12076,63
http://www.snopes.com/deray-mckesson-and-the-summer-of-chaos/,http://www.dcclothesline.com/2016/07/06/hacked-messages-of-blacklivesmatter-leader-reveal-obama-admins-plan-for-summer-of-chaos-and-martial-law/,7/8/16 22:39,7/8/16 22:44,7/6/16 11:08,7/6/16 09:09,1047,64
http://www.snopes.com/daughter-fertilizes-eggs-with-fathers-sperm/,http://worldnewsdailyreport.com/denmark-daughter-fertilizes-own-eggs-with-sperm-of-deceased-father/,10/17/16 06:57,10/17/16 07:09,10/8/16 12:09,10/16/16 20:07,1,65
http://www.snopes.com/isis-leader-supports-hillary/,http://worldnewsdailyreport.com/isis-leader-calls-for-american-muslim-voters-to-support-hillary-clinton/,10/21/16 18:00,10/21/16 18:01,10/11/16 14:32,10/11/16 17:24,1439,66
http://www.snopes.com/flags-banned-at-dnc/,http://www.nowtheendbegins.com/flag-flown-democratic-convention-jihad-flag-palestine/,7/26/16 15:25,7/26/16 15:33,7/26/16 12:38,7/26/16 12:46,23,68
http://www.snopes.com/black-lives-matter-protesters-chant-for-dead-cops-now-in-baton-rouge/,http://www.infowars.com/black-lives-matter-supporters-islamists-celebrate-murder-of-baton-rouge-cops/,7/18/16 18:01,7/18/16 18:02,7/17/16 17:34,7/17/16 16:36,5977,69
http://www.snopes.com/hillary-clinton-has-parkinsons-disease/,http://www.infowars.com/top-doctor-concerns-over-hillarys-health-not-a-conspiracy-theory/,9/11/16 00:10,9/11/16 00:17,8/22/16 14:02,8/22/16 13:43,4062,70
http://www.snopes.com/debate-secret-hand-signals/,http://www.infowars.com/world-champion-poker-player-clinton-secretly-signaled-moderator-during-debate/,9/28/16 22:12,9/28/16 22:31,9/28/16 19:31,9/28/16 19:34,349,71
http://www.snopes.com/human-sacrifice-captured-at-cern/,http://worldtruth.tv/murder-at-cern-disturbing-human-sacrifice-video-surfaces/,8/17/16 18:58,8/17/16 19:00,8/12/16 12:46,8/12/16 16:46,9,72
http://www.snopes.com/alicia-machado-adult-star/,http://www.infowars.com/hillarys-new-anti-trump-poster-child-is-a-porn-star-accused-of-driving-a-murder-getaway-vehicle-threatening-to-kill-a-judge/,9/28/16 18:32,9/28/16 18:42,9/28/16 12:28,9/28/16 12:31,2126,73
http://www.snopes.com/hunter-nearly-killed-by-brutal-sexual-assault-from-moose/,http://worldnewsdailyreport.com/hunter-nearly-killed-by-brutal-sexual-assault-from-1200-lbs-moose/,11/16/16 18:26,11/16/16 18:28,11/7/16 14:54,11/16/16 02:58,13,74
http://www.snopes.com/hillary-clinton-had-drunken-meltdown-after-losing-the-election/,http://www.infowars.com/report-hillary-became-physically-violent-after-she-realized-she-had-lost-the-election/,11/16/16 06:12,11/16/16 06:16,11/15/16 12:04,11/15/16 12:00,6839,67